--- ddscat calc for FROM_FILE ---
83645
1.000   0.000   0.000
1.000   1.000   0.000
1.      1.      1.   
0.0   0.0   0.0
J     JX      JY      JZ    ICOMPX    ICOMPY   ICOMPZ
1    0    0    -20    1      1      1
2    -1    -15    -19    1      1      1
3    0    -15    -19    1      1      1
4    1    -15    -19    1      1      1
5    -2    -14    -19    1      1      1
6    -1    -14    -19    1      1      1
7    0    -14    -19    1      1      1
8    1    -14    -19    1      1      1
9    2    -14    -19    1      1      1
10    -3    -13    -19    1      1      1
11    -2    -13    -19    1      1      1
12    -1    -13    -19    1      1      1
13    0    -13    -19    1      1      1
14    1    -13    -19    1      1      1
15    2    -13    -19    1      1      1
16    3    -13    -19    1      1      1
17    -3    -12    -19    1      1      1
18    -2    -12    -19    1      1      1
19    -1    -12    -19    1      1      1
20    0    -12    -19    1      1      1
21    1    -12    -19    1      1      1
22    2    -12    -19    1      1      1
23    3    -12    -19    1      1      1
24    -4    -11    -19    1      1      1
25    -3    -11    -19    1      1      1
26    -2    -11    -19    1      1      1
27    -1    -11    -19    1      1      1
28    0    -11    -19    1      1      1
29    1    -11    -19    1      1      1
30    2    -11    -19    1      1      1
31    3    -11    -19    1      1      1
32    4    -11    -19    1      1      1
33    -4    -10    -19    1      1      1
34    -3    -10    -19    1      1      1
35    -2    -10    -19    1      1      1
36    -1    -10    -19    1      1      1
37    0    -10    -19    1      1      1
38    1    -10    -19    1      1      1
39    2    -10    -19    1      1      1
40    3    -10    -19    1      1      1
41    4    -10    -19    1      1      1
42    -5    -9    -19    1      1      1
43    -4    -9    -19    1      1      1
44    -3    -9    -19    1      1      1
45    -2    -9    -19    1      1      1
46    -1    -9    -19    1      1      1
47    0    -9    -19    1      1      1
48    1    -9    -19    1      1      1
49    2    -9    -19    1      1      1
50    3    -9    -19    1      1      1
51    4    -9    -19    1      1      1
52    5    -9    -19    1      1      1
53    -5    -8    -19    1      1      1
54    -4    -8    -19    1      1      1
55    -3    -8    -19    1      1      1
56    -2    -8    -19    1      1      1
57    -1    -8    -19    1      1      1
58    0    -8    -19    1      1      1
59    1    -8    -19    1      1      1
60    2    -8    -19    1      1      1
61    3    -8    -19    1      1      1
62    4    -8    -19    1      1      1
63    5    -8    -19    1      1      1
64    -5    -7    -19    1      1      1
65    -4    -7    -19    1      1      1
66    -3    -7    -19    1      1      1
67    -2    -7    -19    1      1      1
68    -1    -7    -19    1      1      1
69    0    -7    -19    1      1      1
70    1    -7    -19    1      1      1
71    2    -7    -19    1      1      1
72    3    -7    -19    1      1      1
73    4    -7    -19    1      1      1
74    5    -7    -19    1      1      1
75    -5    -6    -19    1      1      1
76    -4    -6    -19    1      1      1
77    -3    -6    -19    1      1      1
78    -2    -6    -19    1      1      1
79    -1    -6    -19    1      1      1
80    0    -6    -19    1      1      1
81    1    -6    -19    1      1      1
82    2    -6    -19    1      1      1
83    3    -6    -19    1      1      1
84    4    -6    -19    1      1      1
85    5    -6    -19    1      1      1
86    -5    -5    -19    1      1      1
87    -4    -5    -19    1      1      1
88    -3    -5    -19    1      1      1
89    -2    -5    -19    1      1      1
90    -1    -5    -19    1      1      1
91    0    -5    -19    1      1      1
92    1    -5    -19    1      1      1
93    2    -5    -19    1      1      1
94    3    -5    -19    1      1      1
95    4    -5    -19    1      1      1
96    5    -5    -19    1      1      1
97    -6    -4    -19    1      1      1
98    -5    -4    -19    1      1      1
99    -4    -4    -19    1      1      1
100    -3    -4    -19    1      1      1
101    -2    -4    -19    1      1      1
102    -1    -4    -19    1      1      1
103    0    -4    -19    1      1      1
104    1    -4    -19    1      1      1
105    2    -4    -19    1      1      1
106    3    -4    -19    1      1      1
107    4    -4    -19    1      1      1
108    5    -4    -19    1      1      1
109    6    -4    -19    1      1      1
110    -6    -3    -19    1      1      1
111    -5    -3    -19    1      1      1
112    -4    -3    -19    1      1      1
113    -3    -3    -19    1      1      1
114    -2    -3    -19    1      1      1
115    -1    -3    -19    1      1      1
116    0    -3    -19    1      1      1
117    1    -3    -19    1      1      1
118    2    -3    -19    1      1      1
119    3    -3    -19    1      1      1
120    4    -3    -19    1      1      1
121    5    -3    -19    1      1      1
122    6    -3    -19    1      1      1
123    -6    -2    -19    1      1      1
124    -5    -2    -19    1      1      1
125    -4    -2    -19    1      1      1
126    -3    -2    -19    1      1      1
127    -2    -2    -19    1      1      1
128    -1    -2    -19    1      1      1
129    0    -2    -19    1      1      1
130    1    -2    -19    1      1      1
131    2    -2    -19    1      1      1
132    3    -2    -19    1      1      1
133    4    -2    -19    1      1      1
134    5    -2    -19    1      1      1
135    6    -2    -19    1      1      1
136    -6    -1    -19    1      1      1
137    -5    -1    -19    1      1      1
138    -4    -1    -19    1      1      1
139    -3    -1    -19    1      1      1
140    -2    -1    -19    1      1      1
141    -1    -1    -19    1      1      1
142    0    -1    -19    1      1      1
143    1    -1    -19    1      1      1
144    2    -1    -19    1      1      1
145    3    -1    -19    1      1      1
146    4    -1    -19    1      1      1
147    5    -1    -19    1      1      1
148    6    -1    -19    1      1      1
149    -6    0    -19    1      1      1
150    -5    0    -19    1      1      1
151    -4    0    -19    1      1      1
152    -3    0    -19    1      1      1
153    -2    0    -19    1      1      1
154    -1    0    -19    1      1      1
155    0    0    -19    1      1      1
156    1    0    -19    1      1      1
157    2    0    -19    1      1      1
158    3    0    -19    1      1      1
159    4    0    -19    1      1      1
160    5    0    -19    1      1      1
161    6    0    -19    1      1      1
162    -6    1    -19    1      1      1
163    -5    1    -19    1      1      1
164    -4    1    -19    1      1      1
165    -3    1    -19    1      1      1
166    -2    1    -19    1      1      1
167    -1    1    -19    1      1      1
168    0    1    -19    1      1      1
169    1    1    -19    1      1      1
170    2    1    -19    1      1      1
171    3    1    -19    1      1      1
172    4    1    -19    1      1      1
173    5    1    -19    1      1      1
174    6    1    -19    1      1      1
175    -6    2    -19    1      1      1
176    -5    2    -19    1      1      1
177    -4    2    -19    1      1      1
178    -3    2    -19    1      1      1
179    -2    2    -19    1      1      1
180    -1    2    -19    1      1      1
181    0    2    -19    1      1      1
182    1    2    -19    1      1      1
183    2    2    -19    1      1      1
184    3    2    -19    1      1      1
185    4    2    -19    1      1      1
186    5    2    -19    1      1      1
187    6    2    -19    1      1      1
188    -6    3    -19    1      1      1
189    -5    3    -19    1      1      1
190    -4    3    -19    1      1      1
191    -3    3    -19    1      1      1
192    -2    3    -19    1      1      1
193    -1    3    -19    1      1      1
194    0    3    -19    1      1      1
195    1    3    -19    1      1      1
196    2    3    -19    1      1      1
197    3    3    -19    1      1      1
198    4    3    -19    1      1      1
199    5    3    -19    1      1      1
200    6    3    -19    1      1      1
201    -6    4    -19    1      1      1
202    -5    4    -19    1      1      1
203    -4    4    -19    1      1      1
204    -3    4    -19    1      1      1
205    -2    4    -19    1      1      1
206    -1    4    -19    1      1      1
207    0    4    -19    1      1      1
208    1    4    -19    1      1      1
209    2    4    -19    1      1      1
210    3    4    -19    1      1      1
211    4    4    -19    1      1      1
212    5    4    -19    1      1      1
213    6    4    -19    1      1      1
214    -5    5    -19    1      1      1
215    -4    5    -19    1      1      1
216    -3    5    -19    1      1      1
217    -2    5    -19    1      1      1
218    -1    5    -19    1      1      1
219    0    5    -19    1      1      1
220    1    5    -19    1      1      1
221    2    5    -19    1      1      1
222    3    5    -19    1      1      1
223    4    5    -19    1      1      1
224    5    5    -19    1      1      1
225    -5    6    -19    1      1      1
226    -4    6    -19    1      1      1
227    -3    6    -19    1      1      1
228    -2    6    -19    1      1      1
229    -1    6    -19    1      1      1
230    0    6    -19    1      1      1
231    1    6    -19    1      1      1
232    2    6    -19    1      1      1
233    3    6    -19    1      1      1
234    4    6    -19    1      1      1
235    5    6    -19    1      1      1
236    -5    7    -19    1      1      1
237    -4    7    -19    1      1      1
238    -3    7    -19    1      1      1
239    -2    7    -19    1      1      1
240    -1    7    -19    1      1      1
241    0    7    -19    1      1      1
242    1    7    -19    1      1      1
243    2    7    -19    1      1      1
244    3    7    -19    1      1      1
245    4    7    -19    1      1      1
246    5    7    -19    1      1      1
247    -5    8    -19    1      1      1
248    -4    8    -19    1      1      1
249    -3    8    -19    1      1      1
250    -2    8    -19    1      1      1
251    -1    8    -19    1      1      1
252    0    8    -19    1      1      1
253    1    8    -19    1      1      1
254    2    8    -19    1      1      1
255    3    8    -19    1      1      1
256    4    8    -19    1      1      1
257    5    8    -19    1      1      1
258    -5    9    -19    1      1      1
259    -4    9    -19    1      1      1
260    -3    9    -19    1      1      1
261    -2    9    -19    1      1      1
262    -1    9    -19    1      1      1
263    0    9    -19    1      1      1
264    1    9    -19    1      1      1
265    2    9    -19    1      1      1
266    3    9    -19    1      1      1
267    4    9    -19    1      1      1
268    5    9    -19    1      1      1
269    -4    10    -19    1      1      1
270    -3    10    -19    1      1      1
271    -2    10    -19    1      1      1
272    -1    10    -19    1      1      1
273    0    10    -19    1      1      1
274    1    10    -19    1      1      1
275    2    10    -19    1      1      1
276    3    10    -19    1      1      1
277    4    10    -19    1      1      1
278    -4    11    -19    1      1      1
